-120.7	-182.9	2.4
-125.3	-188.2	2.6
-136.3	-201.1	2.4
-148.6	-215.6	2.3
-155.1	-223.2	2.6
-169.4	-240.1	3.2
-186.8	-260.6	3.5
-195.4	-270.7	4.5
-206.4	-283.5	4.6
-217.4	-296.6	5.3
-230.3	-311.8	5.7
-247.1	-331.5	5.2
-262.7	-349.8	6.1
-281.4	-371.9	6.5
-84.2	-133.1	0.9
-87.4	-136.8	0.4
-90.3	-139.8	0.7
-93.1	-142.9	1.1
-99.4	-149.8	1.6
-103.3	-154.2	1.2
-114.5	-166.3	2.1
-119.1	-171.5	1.9
-133.3	-187.1	2.3
-137.6	-191.7	3.4
-144.7	-199.6	2.4
-157.6	-213.7	2.6
-171.8	-229.3	3.3
-181.2	-239.6	2.8
-188.6	-247.8	3.9
-198.8	-258.9	3.9
-208.2	-269.3	4.8
-248.5	-313.6	5.2
-264.7	-331.3	5.7
-282.9	-351.3	6.2
-88.5	-131.4	1.3
-91.9	-134.9	0.8
-94.8	-137.9	1.2
-97.8	-140.9	1.6
-104.9	-148.2	1.7
-125.9	-169.8	1.8
-130.8	-174.8	1.9
-135.2	-179.3	2.6
-141.3	-185.6	2.1
-146.4	-190.7	2.8
-152.7	-197.2	2.9
-159.6	-204.3	2.8
-174.3	-219.4	3.1
-192.4	-237.9	2.9
-210.7	-256.8	4.5
-221.8	-268.2	4.9
-234.4	-281.1	5.3
-283.8	-331.8	5.8
-304.1	-352.6	6.3
-96.3	-132.9	1.3
-99.9	-136.3	1.1
-102.9	-139.3	1.6
-110.3	-146.3	1.8
-115.8	-151.5	0.4
-118.9	-154.6	1.5
-123.3	-158.8	1.6
-128.4	-163.6	1.3
-132.2	-167.2	2.3
-138.5	-173.4	1.5
-142.4	-177.1	2.8
-148.8	-183.3	2.4
-154.6	-188.8	2.8
-161.8	-195.6	2.6
-184.9	-217.9	2.9
-202.3	-234.5	3.9
-213.2	-244.9	3.9
-249.4	-279.5	5.6
-267.2	-296.7	4.9
-283.8	-312.6	5.7
-304.8	-332.7	5.7
-101.9	-131.8	0.5
-108.2	-137.4	1.6
-112.5	-141.3	1.1
-116.4	-144.7	1.4
-120.9	-148.7	1.2
-125.4	-152.7	1.2
-129.9	-156.8	1.4
-135.7	-162.1	0.8
-150.9	-175.7	2.1
-169.7	-192.5	3.2
-178.6	-200.3	2.6
-185.4	-206.5	3.5
-194.4	-214.4	3.6
-204.7	-223.7	3.3
-213.8	-231.9	4.2
-225.6	-242.4	4.1
-237.6	-253.1	4.6
-251.7	-265.8	4.7
-265.2	-277.8	5.7
-284.5	-295.1	5.2
-303.9	-312.4	5.6
-324.7	-331.1	6.3
-106.2	-129.3	1.1
-113.4	-135.2	1.6
-127.1	-146.7	0.9
-141.2	-158.5	1.8
-152.1	-167.6	2.3
-164.4	-177.9	2.8
-172.1	-184.3	2.6
-188.2	-197.7	2.6
-195.2	-203.6	3.7
-205.1	-211.9	3.6
-215.8	-220.9	3.5
-225.9	-229.2	4.3
-238.9	-240.1	4.2
-251.3	-250.4	4.9
-284.9	-278.5	4.7
-302.6	-293.2	5.4
-323.3	-310.5	5.9
-343.3	-327.3	7.6
-100.6	-118.9	0.6
-103.3	-121.1	1.5
-110.5	-126.7	1.6
-119.2	-133.5	1.1
-122.6	-136.1	1.9
-128.5	-140.7	0.6
-133.3	-144.4	0.7
-138.2	-148.3	0.9
-147.9	-155.8	1.9
-154.1	-160.7	1.6
-159.8	-165.1	2.1
-166.9	-170.6	1.9
-181.1	-181.6	2.3
-189.1	-187.9	2.6
-206.5	-201.4	3.2
-216.7	-209.4	3.3
-238.1	-226.1	4.5
-250.8	-235.9	4.9
-266.4	-248.2	4.7
-283.7	-261.7	4.6
-302.6	-276.4	4.7
-342.9	-307.8	6.5
-105.2	-116.9	0.4
-108.6	-119.4	0.7
-119.5	-127.4	1.6
-134.7	-138.3	0.4
-138.2	-140.9	1.6
-144.6	-145.5	0.8
-149.6	-149.1	1.3
-155.3	-153.3	1.5
-166.8	-161.6	2.4
-174.1	-166.9	2.4
-181.5	-172.2	2.6
-189.5	-178.1	2.6
-198.4	-184.5	2.6
-206.5	-190.5	3.3
-217.8	-198.7	2.8
-227.6	-205.7	3.5
-239.7	-214.5	3.6
-252.6	-223.9	3.8
-283.4	-246.2	4.1
-301.9	-259.7	4.1
-319.8	-272.7	5.1
-340.1	-287.3	6.2
-105.1	-111.5	1.3
-109.1	-114.3	0.8
-125.8	-125.5	0.5
-130.8	-128.9	0.2
-134.4	-131.3	1.2
-140.1	-135.2	0.7
-145.2	-138.6	0.9
-161.3	-149.4	2.1
-167.9	-153.9	2.1
-174.5	-158.4	2.4
-181.3	-162.9	2.9
-191.1	-169.5	1.9
-198.6	-174.6	2.6
-207.7	-180.8	2.7
-216.9	-187.1	3.2
-228.4	-194.8	2.9
-240.1	-202.6	3.1
-251.7	-210.5	3.8
-266.6	-220.6	3.7
-281.5	-230.7	4.1
-298.9	-242.4	4.3
-317.2	-254.7	4.9
-337.9	-268.7	5.6
-103.2	-105.1	0.2
-106.7	-107.4	0.2
-110.1	-109.6	0.4
-117.9	-114.4	0.5
-126.5	-119.8	0.4
-130.9	-122.5	0.6
-140.3	-128.5	0.9
-144.8	-131.3	1.6
-151.4	-135.4	0.8
-156.7	-138.7	1.3
-168.6	-146.2	1.8
-183.1	-155.2	1.9
-189.9	-159.6	2.6
-199.2	-165.3	2.2
-207.8	-170.7	2.6
-228.9	-183.9	2.4
-239.9	-190.9	2.8
-251.8	-198.4	3.2
-264.6	-206.3	3.8
-280.6	-216.3	3.7
-295.9	-225.9	4.4
-315.4	-238.2	4.4
-334.9	-250.4	5.1
-357.7	-264.7	5.7
-103.9	-100.7	-0.1
-107.4	-102.8	-0.1
-109.7	-104.1	1.3
-115.3	-107.3	-0.4
-122.6	-111.6	0.4
-130.7	-116.3	1.1
-135.9	-119.2	0.8
-140.4	-121.9	1.2
-146.4	-125.3	0.7
-150.8	-127.9	1.4
-156.9	-131.5	1.3
-175.3	-142.1	2.1
-182.2	-146.1	2.4
-191.6	-151.6	1.5
-198.7	-155.6	2.3
-207.3	-160.7	2.6
-216.9	-166.1	2.7
-228.1	-172.7	2.4
-238.5	-178.7	2.9
-250.6	-185.7	3.1
-264.4	-193.7	3.1
-279.2	-202.2	3.3
-295.5	-211.8	3.5
-312.1	-221.3	4.3
-354.4	-245.9	5.1
-377.8	-259.4	6.1
-100.8	-94.3	-0.3
-103.7	-95.9	0.2
-106.7	-97.6	0.8
-122.1	-105.7	1.1
-127.3	-108.5	0.4
-131.7	-110.9	0.4
-136.2	-113.3	0.6
-141.5	-116.1	0.4
-146.1	-118.6	0.9
-152.2	-121.8	0.5
-157.6	-124.7	0.8
-175.5	-134.3	1.8
-183.4	-138.5	1.5
-189.8	-141.9	2.4
-198.5	-146.6	2.1
-208.2	-151.7	1.8
-217.1	-156.4	2.2
-227.6	-162.1	2.1
-238.2	-167.8	2.4
-251.4	-174.8	2.1
-262.1	-180.5	3.2
-308.9	-205.5	4.1
-330.8	-217.2	3.6
-348.5	-226.7	5.1
-99.9	-89.5	0.8
-107.8	-93.4	-0.1
-110.8	-94.9	0.5
-114.5	-96.7	0.6
-118.2	-98.5	0.8
-136.4	-107.4	0.5
-146.3	-112.3	0.6
-157.3	-117.7	0.9
-163.6	-120.8	0.8
-169.1	-123.5	1.3
-181.8	-129.8	2.1
-190.7	-134.1	1.4
-207.8	-142.5	1.5
-217.6	-147.3	1.3
-226.7	-151.8	1.9
-238.3	-157.4	1.7
-248.3	-162.4	2.6
-291.3	-183.5	2.7
-323.8	-199.4	4.3
-346.2	-210.4	4.1
-395.5	-234.6	5.1
-104.3	-87.2	-0.3
-106.7	-88.3	0.9
-111.8	-90.6	-0.4
-118.7	-93.7	0.4
-126.3	-97.2	1.1
-131.6	-99.5	0.4
-136.3	-101.6	0.4
-140.9	-103.8	0.6
-151.9	-108.6	0.4
-157.5	-111.2	0.5
-169.4	-116.5	0.8
-183.2	-122.7	0.9
-197.9	-129.3	1.5
-215.3	-137.1	1.8
-236.2	-146.5	1.7
-260.9	-157.5	1.7
-273.7	-163.3	2.2
-289.2	-170.2	2.2
-303.1	-176.4	3.3
-319.5	-183.8	4.1
-340.5	-193.3	4.1
-363.2	-203.4	4.4
-389.6	-215.3	4.5
-99.9	-81.3	0.4
-103.6	-82.7	0.1
-110.5	-85.6	0.5
-118.1	-88.7	0.6
-122.7	-90.5	0.2
-140.6	-97.8	0.5
-146.1	-100.1	0.2
-151.7	-102.4	0.1
-156.6	-104.3	0.7
-162.2	-106.7	0.9
-188.4	-117.3	1.6
-196.7	-120.8	1.4
-205.1	-124.1	1.5
-223.6	-131.7	1.7
-234.6	-136.2	1.5
-246.7	-141.2	1.3
-257.9	-145.7	1.8
-272.5	-151.7	1.4
-284.7	-156.7	2.5
-301.3	-163.5	2.4
-316.3	-169.6	3.5
-383.7	-197.1	3.8
-408.8	-207.4	4.9
-105.9	-79.5	1.1
-113.5	-82.4	0.8
-125.9	-86.9	0.7
-131.4	-88.9	-0.1
-140.2	-92.1	0.4
-160.3	-99.6	1.6
-168.5	-102.6	0.3
-173.5	-104.4	1.3
-188.4	-109.9	0.9
-195.2	-112.5	1.5
-223.2	-122.7	0.9
-243.9	-130.3	1.3
-256.9	-135.2	0.9
-269.2	-139.7	1.4
-283.3	-144.9	1.5
-297.4	-150.2	2.2
-313.4	-156.1	2.7
-351.9	-170.2	3.6
-377.2	-179.5	3.3
-401.6	-188.6	4.2
-100.1	-73.5	-0.5
-101.9	-74.1	1.1
-106.3	-75.5	0.1
-113.4	-77.9	0.5
-121.2	-80.4	0.6
-125.8	-81.9	0.2
-129.1	-83.1	1.2
-139.4	-86.4	0.4
-149.9	-89.9	0.2
-154.1	-91.3	1.2
-160.6	-93.4	0.7
-165.6	-95.1	1.4
-173.1	-97.5	0.8
-179.7	-99.7	0.8
-194.1	-104.5	1.2
-201.8	-107.1	1.4
-212.1	-110.4	0.6
-241.5	-120.2	1.1
-267.1	-128.6	0.7
-279.5	-132.7	1.4
-293.8	-137.4	1.8
-308.2	-142.2	2.7
-325.4	-147.8	3.2
-344.3	-154.1	3.7
-393.6	-170.4	3.8
-419.4	-178.8	4.9
-450.7	-189.2	5.6
-102.7	-70.5	-0.4
-105.2	-71.2	0.6
-109.1	-72.3	0.4
-116.2	-74.4	0.8
-120.9	-75.8	0.2
-143.3	-82.3	0.4
-147.5	-83.5	1.2
-171.5	-90.6	0.8
-177.5	-92.3	1.3
-185.9	-94.8	0.5
-191.9	-96.5	1.4
-201.4	-99.3	0.6
-218.7	-104.3	0.8
-229.2	-107.4	0.5
-250.4	-113.6	0.9
-262.9	-117.2	0.9
-289.8	-125.2	1.5
-305.2	-129.6	1.9
-321.6	-134.4	2.4
-338.9	-139.4	3.2
-362.8	-146.5	2.7
-384.9	-152.9	3.6
-441.6	-169.4	4.7
-100.7	-66.2	0.8
-104.6	-67.1	0.4
-108.5	-68.1	0.1
-111.7	-68.9	0.6
-115.6	-69.9	0.5
-118.9	-70.8	1.2
-132.5	-74.2	0.5
-158.1	-80.7	0.6
-163.9	-82.2	0.7
-169.8	-83.8	0.9
-176.5	-85.5	0.8
-191.1	-89.2	0.6
-198.1	-90.9	1.2
-215.5	-95.4	1.1
-236.7	-100.8	0.5
-245.6	-103.1	1.5
-259.9	-106.8	0.5
-271.7	-109.7	1.1
-285.3	-113.2	1.4
-300.8	-117.2	1.5
-315.4	-120.9	2.4
-333.8	-125.6	2.6
-377.4	-136.7	3.1
-401.6	-142.8	3.8
-429.8	-150.1	4.4
-998.2	-295.1	47.2
-998.1	-295.1	65.2
-100.1	-62.3	0.7
-103.9	-63.1	0.3
-107.1	-63.8	0.6
-111.8	-64.8	-0.3
-114.3	-65.3	0.9
-119.6	-66.6	-0.4
-135.3	-69.9	1.1
-150.2	-73.2	1.2
-156.8	-74.7	0.4
-161.1	-75.6	1.5
-173.8	-78.4	1.3
-196.2	-83.3	0.9
-204.9	-85.1	0.6
-223.4	-89.2	0.4
-232.4	-91.2	0.9
-267.6	-98.9	0.9
-280.3	-101.6	1.4
